name,testMethods,snapshotTestMethods,assertions,snapshotAssertions,hasOnlyFileST,hasOnlyInlineST,hasBothST
frontend-collective/react-sortable-tree,104,1,199,1,1,0,0
frontity/frontity,1304,430,2309,554,0,0,1
fuse-box/fuse-box,737,285,940,285,0,0,1
gaearon/react-hot-loader,208,2,676,2,1,0,0
garmeeh/next-seo,139,5,335,5,1,0,0
geekyants/react-native-easy-grid,3,3,3,3,1,0,0
geist-org/geist-ui,444,154,899,178,1,0,0
geist-org/react,432,150,854,172,1,0,0
gielcobben/caption,7,7,7,7,1,0,0
gilbarbara/react-inlinesvg,38,31,91,35,1,0,0
gilbarbara/react-joyride,125,64,280,64,1,0,0
gitify-app/gitify,127,19,237,31,1,0,0
glennreyes/react-countup,37,9,34,9,1,0,0
googlechromelabs/critters,28,13,53,14,1,0,0
googlechromelabs/prerender-loader,11,7,26,7,1,0,0
googlechromelabs/size-plugin,6,6,15,6,1,0,0
googlechrome/lighthouse-ci,492,62,939,118,0,1,0
googlemaps/google-maps-services-js,95,5,209,5,0,1,0
google/site-kit-wp,1936,16,3867,16,0,0,1
gothinkster/vue-realworld-example-app,19,1,27,1,1,0,0
gqless/gqless,149,46,608,91,0,1,0
grafana/grafana,5857,225,10842,240,0,0,1
graphile/starter,52,16,166,16,0,1,0
graphile/worker,65,6,418,6,0,0,1
graphql-compose/graphql-compose,972,6,2610,7,0,1,0
graphql-nexus/nexus,262,144,414,163,0,0,1
greenkeeperio/greenkeeper,455,49,1878,68,1,0,0
gregberge/loadable-components,91,56,141,56,0,0,1
gregberge/svgr,156,126,181,135,0,0,1
gregberge/xstyled,220,4,451,4,0,1,0
grid-js/gridjs,182,36,365,36,1,0,0
gridsome/gridsome,487,26,1718,27,1,0,0
grommet/grommet,1110,889,1833,1047,1,0,0
happy-coding-clans/vue-easytable,256,47,618,47,1,0,0
haroenv/holmes,40,1,46,1,1,0,0
hashicorp/next-mdx-remote,19,13,30,13,0,1,0
hashicorp/terraform-cdk,832,407,1287,435,0,0,1
hedgedoc/hedgedoc,411,1,864,1,0,1,0
hibiken/react-places-autocomplete,29,5,49,5,1,0,0
hiroppy/fusuma,27,27,30,30,1,0,0
hospitalrun/hospitalrun-frontend,760,2,1539,2,0,1,0
hql287/manta,375,17,709,17,1,0,0
hyperfuse/react-anime,1,1,1,1,1,0,0
hypeserver/react-date-range,12,2,38,2,1,0,0
i18next/react-i18next,113,52,137,52,0,1,0
iamvishnusankar/next-sitemap,42,6,68,6,0,1,0
ikatyang/emoji-cheat-sheet,1,1,1,1,0,1,0
imcuttle/mometa,155,14,27,16,0,0,1
immerjs/immer,322,4,797,8,0,0,1
infernojs/inferno,1923,14,6378,14,1,0,0
